REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2016,40,1.19763,1.25626,3119,2149,X,4174,833,645,10920,1956,869249
National,X,2016,41,1.22887,1.29218,3207,2155,X,4078,879,678,10997,1977,851042
National,X,2016,42,1.26723,1.33024,3564,2234,X,4452,981,695,11926,1986,896532
National,X,2016,43,1.36226,1.42562,3786,2406,X,4769,987,700,12648,2008,887194
National,X,2016,44,1.48468,1.56991,4314,2444,X,5287,1030,715,13790,2001,878396
National,X,2016,45,1.55838,1.65029,4703,2549,X,5193,1055,758,14258,1993,863967
National,X,2016,46,1.64639,1.73187,4979,2659,X,5610,1083,829,15160,2002,875353
National,X,2016,47,1.91196,2.03348,5032,2634,X,4567,1108,867,14208,2013,698702
National,X,2016,48,1.81129,1.88027,5209,3326,X,5655,1359,1056,16605,2005,883118
National,X,2016,49,1.91669,2.00307,5512,3188,X,5814,1415,1047,16976,2018,847500
National,X,2016,50,2.20671,2.27465,5744,3491,X,6724,1485,1019,18463,2005,811687
National,X,2016,51,2.73096,2.9137,6657,4099,X,7470,1923,1421,21570,1982,740295
National,X,2016,52,3.36152,3.54769,7712,5247,X,7144,2652,2145,24900,1931,701866
National,X,2017,1,3.09232,3.07969,6716,5673,X,6786,2773,2230,24178,2028,785080
National,X,2017,2,3.07623,3.02096,6022,5315,X,8847,2639,2081,24904,2001,824374
National,X,2017,3,3.50708,3.40075,6403,5588,X,12121,2717,1930,28759,2033,845666
National,X,2017,4,3.79872,3.53148,6958,5762,X,14064,2617,1820,31221,2024,884076
National,X,2017,5,4.43601,4.04671,7452,6522,X,17475,2968,2093,36510,2029,902215
National,X,2017,6,5.06094,4.75345,8110,8235,X,20150,3749,2646,42890,2030,902292
National,X,2017,7,4.85988,4.65322,7737,8348,X,18715,3660,2638,41098,1973,883216
National,X,2017,8,4.57809,4.56893,7649,8560,X,17300,3807,2808,40124,1990,878193
National,X,2017,9,3.55555,3.45379,6129,6496,X,12394,2983,2181,30183,1998,873909
National,X,2017,10,3.50492,3.29578,5851,5970,X,11546,2766,1918,28051,1973,851118
National,X,2017,11,3.21406,3.16311,5503,5535,X,10084,2582,1780,25484,1961,805664
National,X,2017,12,3.09854,3.1402,5518,5860,X,11512,2642,1839,27371,1943,871632
National,X,2017,13,2.79765,2.88096,5158,5078,X,10155,2356,1628,24375,1904,846072
National,X,2017,14,2.38646,2.36989,4490,3918,X,8183,1760,1333,19684,1910,830587
National,X,2017,15,1.96699,1.93539,3909,3152,X,5851,1470,1170,15552,1865,803557
National,X,2017,16,1.73523,1.6406,3308,2766,X,4683,1258,997,13012,1850,793124
National,X,2017,17,1.5635,1.47817,2997,2392,X,4497,1111,958,11955,1850,808770
National,X,2017,18,1.4041,1.36819,2890,2039,X,4106,1011,717,10763,1800,786659
National,X,2017,19,1.27729,1.33856,2746,2037,X,3822,862,721,10188,1770,761114
National,X,2017,20,1.28245,1.34625,2685,2011,X,3518,886,709,9809,1749,728618
National,X,2017,21,1.16589,1.26497,2341,1745,X,3060,770,647,8563,1616,676935
National,X,2017,22,1.10926,1.25705,2312,1577,X,2575,710,583,7757,1571,617078
National,X,2017,23,1.04391,1.15816,2456,1462,X,2377,672,591,7558,1497,652587
National,X,2017,24,0.905127,1.04848,2049,1346,X,2099,595,547,6636,1471,632917
National,X,2017,25,0.900396,0.988774,1930,1299,X,1972,560,503,6264,1501,633512
National,X,2017,26,0.859562,0.961791,1771,1121,X,1748,489,467,5596,1423,581831
National,X,2017,27,0.819597,0.956202,1728,1111,X,1564,505,418,5326,1459,556995
National,X,2017,28,0.753215,0.828124,1545,1004,X,1578,462,372,4961,1408,599065
National,X,2017,29,0.738102,0.814683,1549,918,X,1426,451,420,4764,1401,584767
National,X,2017,30,0.734112,0.818696,1576,953,X,1516,459,376,4880,1380,596070
National,X,2017,31,0.732137,0.830428,1529,1037,X,1485,415,433,4899,1391,589937
National,X,2017,32,0.689006,0.828968,1559,1044,X,1481,441,390,4915,1389,592906
National,X,2017,33,0.733007,0.887457,1603,1095,X,1691,425,407,5221,1322,588310
National,X,2017,34,0.913111,1.06267,1977,1253,X,2555,469,412,6666,1353,627288
National,X,2017,35,1.02317,1.12053,2076,1298,X,2726,522,500,7122,1344,635592
National,X,2017,36,1.09338,1.13867,2072,1369,X,2486,587,555,7069,1385,620810
National,X,2017,37,1.09907,1.13462,2371,1658,X,2940,709,628,8306,1483,732050
National,X,2017,38,1.09703,1.17468,2540,1625,X,3069,664,658,8556,1485,728368
National,X,2017,39,1.18892,1.24118,2832,1652,X,3196,746,640,9066,1467,730433
