"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970098576398475264",2018-03-04 00:48:18,"x2155325764","alycianizer","@riversgallagh Minas x Flu e Barueri x Oz","Twitter for Android","x970098168791814144","x441154633","riversgallagh",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x441154633","riversgallagh","pt",,,,,,,,,,,,,
"x970098552251781120",2018-03-04 00:48:13,"x902540655595016192","KrisVeeVee","RT @SmithsonianMag: The aftermath of the 1918 flu pandemic led to unexpected social changes, opening up new opportunities for women and in…","Twitter for iPhone",,,,FALSE,TRUE,0,20,,,,,,,,,,,,,,"x17998609","SmithsonianMag","en",,,"x970087261739081740","The aftermath of the 1918 flu pandemic led to unexpected social changes, opening up new opportunities for women and in the process irreversibly transforming life in the United States. https://t.co/eFDFKN2O6U",,,,,,,,,
"x970098505455996928",2018-03-04 00:48:01,"x836396922785120256","QuasiMediocre","@stephcooks Holy crap! Good luck your the avian flu epidemic in your neighbourhood.","Twitter Web Client","x970097424286076928","x4239271","stephcooks",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x4239271","stephcooks","en",,,,,,,,,,,,,
"x970098496748494848",2018-03-04 00:47:59,"x727217166672515072","beatrice_rita","RT @AnaheimDucks: NEWS: Ryan Getzlaf will miss tonight’s game with the flu. https://t.co/bqh99ckjth","Twitter Lite",,,,FALSE,TRUE,0,31,,,,,,"http://pbs.twimg.com/media/DXVJC6jVMAAmmzH.jpg","https://t.co/bqh99ckjth","https://twitter.com/AnaheimDucks/status/969761615280160770/photo/1","photo","http://pbs.twimg.com/media/DXVJC6jVMAAmmzH.jpg","https://t.co/bqh99ckjth","https://twitter.com/AnaheimDucks/status/969761615280160770/photo/1",,"x19835035","AnaheimDucks","en",,,"x969761615280160770","NEWS: Ryan Getzlaf will miss tonight’s game with the flu. https://t.co/bqh99ckjth",,,,,,,,,
"x970098464553078785",2018-03-04 00:47:52,"x794663423867023361","Archangel1776v8","@garbage Shirley did the asthmatic pills help out with your flu Joy the movie","Twitter for Android","x970087769799208960","x246639380","garbage",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x246639380","garbage","en",,,,,,,,,,,,,
"x970098402762678272",2018-03-04 00:47:37,"x23112652","realtorsuzanneo","Worst of flu season finally over as illnesses decline https://t.co/XIHz32Lmib","Facebook",,,,FALSE,FALSE,0,0,,,"fb.me/XZJvCMNE","https://t.co/XIHz32Lmib","https://fb.me/XZJvCMNE",,,,,,,,,,,"en",,,,,,,,,,,,,
"x970098347745988609",2018-03-04 00:47:24,"x928934761","HealthyWrld","New Flu Reports Begin to Declinen Total Nearing 3000 - The Missourian https://t.co/nGVu8u7fAY https://t.co/lrsGFymDhS","Twitter for Mac",,,,FALSE,FALSE,0,0,,,"goo.gl/iMbQdo","https://t.co/nGVu8u7fAY","https://goo.gl/iMbQdo","http://pbs.twimg.com/media/DXZ7TlpXcAA6eIP.jpg","https://t.co/lrsGFymDhS","https://twitter.com/HealthyWrld/status/970098347745988609/photo/1","photo","http://pbs.twimg.com/media/DXZ7TlpXcAA6eIP.jpg","https://t.co/lrsGFymDhS","https://twitter.com/HealthyWrld/status/970098347745988609/photo/1",,,,"en",,,,,,,,,,,,,
"x970098310370512896",2018-03-04 00:47:15,"x21832778","stephenanson_","@utini42 @JAMNPP @ZSharf Armie May have a 24 stomach bug. The flu is upper respiratory. If he has an intestinal bug, he should be great by tomorrow.","Twitter for iPhone","x970096676785532930","x1110376784","utini42",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x1110376784 55728644 427025250","utini42 JAMNPP ZSharf","en",,,,,"https://api.twitter.com/1.1/geo/id/128ae72e3854b273.json","Bethlehem","Bethlehem, PA","city","United States","US",,,"-75.4314 -75.3029926 -75.3029926 -75.4314 40.578043 40.578043 40.672508 40.672508"
"x970098202715279360",2018-03-04 00:46:49,"x80610722","brensc","RT @blakeshelton: Friends, I have been battling the flu the last few days and today it has gotten the best of me. I rarely have to postpone…","Twitter for Android",,,,FALSE,TRUE,0,353,,,,,,,,,,,,,,"x14920785","blakeshelton","en",,,"x970049175428706315","Friends, I have been battling the flu the last few days and today it has gotten the best of me. I rarely have to postpone a show and I apologize to everyone who had their Saturday night plans to spend it with me and the other Freaks on the “Country Music Freaks” Tour.",,,,,,,,,
"x970097939107336192",2018-03-04 00:45:46,"x877179832915943424","usEnergyFacts","Stomach Flu or Food Poisoning https://t.co/3x1i2w6PK1","Mobile Web (M2)",,,,FALSE,FALSE,0,0,,,"ref.gl/tO5dsEhV","https://t.co/3x1i2w6PK1","http://ref.gl/tO5dsEhV",,,,,,,,,,,"en",,,,,,,,,,,,,
"x970097929896714240",2018-03-04 00:45:44,"x1214268564","Moacord","RT @blakeshelton: Friends, I have been battling the flu the last few days and today it has gotten the best of me. I rarely have to postpone…","Twitter for iPhone",,,,FALSE,TRUE,0,353,,,,,,,,,,,,,,"x14920785","blakeshelton","en",,,"x970049175428706315","Friends, I have been battling the flu the last few days and today it has gotten the best of me. I rarely have to postpone a show and I apologize to everyone who had their Saturday night plans to spend it with me and the other Freaks on the “Country Music Freaks” Tour.",,,,,,,,,
"x970097917473251328",2018-03-04 00:45:41,"x44339519","SeattleNews360","Flu Still Widespread In Washington, Slows Nationally  https://t.co/xmhLBVQ6UP","Zapier.com",,,,FALSE,FALSE,0,0,,,"zpr.io/nxdTC","https://t.co/xmhLBVQ6UP","http://zpr.io/nxdTC",,,,,,,,,,,"en",,,,,,,,,,,,,
"x970097869893046272",2018-03-04 00:45:30,"x22689184","hnb6458","@jevanoff17 Oh I’ve had the flu all week they got it from me","Twitter for iPhone","x970095134233722880","x3023271763","jevanoff17",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x3023271763","jevanoff17","en",,,,,,,,,,,,,
"x970097853904441351",2018-03-04 00:45:26,"x2826675845","dbroo2014","@DrinkBODYARMOR @Blaney @Team_Penske We’re excited about it! Our favorite drink and favorite driver, @Blaney teaming up! Body armor helped nurse the whole Brooks family back to health after all of us came down with the flu. Now we’re hooked! #bodyarmorheroes","Twitter for iPhone","x969629996103979009","x340596866","DrinkBODYARMOR",FALSE,FALSE,0,0,"bodyarmorheroes",,,,,,,,,,,,,"x340596866 239596041 50311625 239596041","DrinkBODYARMOR Blaney Team_Penske Blaney","en",,,,,,,,,,,,,
"x970097852721573888",2018-03-04 00:45:26,"x3092151579","myspecialmagic","@ShaunaJ1776 I support diverse opinions! But are you fighting the flu or strep or anything that might’ve impaired your viewing? Were you with someone fantastic?","Twitter for iPhone","x970097220501622789","x832954205430226944","ShaunaJ1776",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x832954205430226944","ShaunaJ1776","en",,,,,,,,,,,,,
"x970097810803748871",2018-03-04 00:45:16,"x56612794","CobbWeb26","@blakeshelton Feel better Blake.  He flu can knock you down so quickly.","Twitter for iPhone","x970049175428706315","x14920785","blakeshelton",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x14920785","blakeshelton","en",,,,,,,,,,,,,
"x970097695678320641",2018-03-04 00:44:48,"x69676093","DuncanPeggy","Watch out for the Doggy Flu – it’s highly contagious and it’s in Oregon https://t.co/F1zAlYmCg9","Twitter Web Client",,,,FALSE,FALSE,0,0,,,"newslincolncounty.com/archives/198051","https://t.co/F1zAlYmCg9","http://www.newslincolncounty.com/archives/198051",,,,,,,,,,,"en",,,,,,,,,,,,,
"x970097673809354752",2018-03-04 00:44:43,"x270122443","Alzorath","@IndieGamerChick @PixelBotGames @Crithitteam I'd ask for a copy and throw up a video, but I've already got a backlog to produce since I got the flu that's been going around - so it'd probably be at least a week before I could touch it :(","Twitter Web Client","x970097230848909312","x270122443","Alzorath",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x339601420 2207415432 824685854723502080","IndieGamerChick PixelBotGames Crithitteam","en",,,,,,,,,,,,,
"x970097492292403200",2018-03-04 00:44:00,"x2318775175","r_luba","When you have the flu, you definitely don’t need to be at work with those co-workers who will be at work unless they are in the hospital.  

https://t.co/2U2151Nqof

#fluseason #illness #immunity #naturalremedies https://t.co/4D7CRzvNsx","TweetDeck",,,,FALSE,FALSE,0,0,"fluseason illness immunity naturalremedies",,"bit.ly/2BZ9Klj","https://t.co/2U2151Nqof","http://bit.ly/2BZ9Klj","http://pbs.twimg.com/media/DXVYLD_U8AAozq0.jpg","https://t.co/4D7CRzvNsx","https://twitter.com/r_luba/status/970097492292403200/photo/1","photo","http://pbs.twimg.com/media/DXVYLD_U8AAozq0.jpg","https://t.co/4D7CRzvNsx","https://twitter.com/r_luba/status/970097492292403200/photo/1",,,,"en",,,,,,,,,,,,,
"x970097406158229504",2018-03-04 00:43:39,"x818161006685908993","883hdrider","@jesseflo you have the flu?","Twitter for Android","x970092252813959169","x23859629","jesseflo",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x23859629","jesseflo","en",,,,,,,,,,,,,
