lon,lat
-107.8140452,37.6302699
-87.6297982,41.8781136
71.9243183,30.4911461
NA,NA
-85.6023643,44.3148443
-83.153985,42.327978
-95.712891,37.09024
NA,NA
-82.9000751,32.1656221
-81.6326234,38.3498195
NA,NA
-122.3320708,47.6062095
-82.907123,40.4172871
-78.6568942,37.4315734
-81.1637245,33.836081
NA,NA
-123.5970325,44.3818831
NA,NA
NA,NA
-89.3985283,32.3546679
-96.6397822,33.1972465
-97.2222451,34.7400809
-84.5037164,38.0405837
NA,NA
NA,NA
NA,NA
-117.1817377,46.7297771
6.1431577,46.2043907
-79.8833971,34.6976564
NA,NA
-97.7972544,32.7592955
-91.9623327,30.9842977
-80.148379,25.9812024
-82.4571776,27.950575
-76.4548626,39.3698263
121.1360819,14.5585549
NA,NA
NA,NA
-76.4730122,37.0870821
NA,NA
NA,NA
-97.2222451,34.7400809
-74.0143064,40.7878788
-90.0351167,40.5580945
NA,NA
-77.6930602,43.2097837
-77.1945247,41.2033216
NA,NA
NA,NA
4.4777326,51.9244201
NA,NA
NA,NA
151.2092955,-33.8688197
-99.9018131,31.9685988
-91.7271154,44.9974614
-90.704279,35.8422967
-95.712891,37.09024
-86.158068,39.768403
-81.5157535,27.6648274
-106.346771,56.130366
NA,NA
NA,NA
-89.0928155,30.3674198
-122.4014193,37.4337342
-76.6121893,39.2903848
-87.4163869,30.3356947
-106.346771,56.130366
-119.2920585,36.3302284
-94.5785667,39.0997265
NA,NA
-82.9000751,32.1656221
-79.3831843,43.653226
-93.7501789,32.5251516
NA,NA
NA,NA
-81.1637245,33.836081
NA,NA
-86.6513845,36.4703232
NA,NA
NA,NA
-95.4079505,29.7557306
-98.4936282,29.4241219
-118.392419,33.977036
-85.6811017,42.9851272
NA,NA
-122.6764815,45.5230622
NA,NA
NA,NA
NA,NA
NA,NA
-87.6297982,41.8781136
NA,NA
-95.712891,37.09024
NA,NA
-113.4909267,53.544389
-98.4933873,33.9137085
-121.4943996,38.5815719
NA,NA
-84.5037164,38.0405837
-95.712891,37.09024
NA,NA
-73.9212858,40.6944282
-118.7616764,34.1533395
-90.48344,41.56085
NA,NA
-78.8783689,42.8864468
-95.1765978,29.9988306
-87.2169149,30.421309
NA,NA
-120.5542012,43.8041334
-106.346771,56.130366
NA,NA
-82.6402915,27.7676008
-119.4179324,36.778261
-118.2436849,34.0522342
-74.0059728,40.7127753
NA,NA
NA,NA
-118.4104684,34.1030032
-122.3320708,47.6062095
-74.0059728,40.7127753
-74.0059728,40.7127753
NA,NA
-4.2026458,56.4906712
NA,NA
NA,NA
-69.4454689,45.253783
-95.712891,37.09024
NA,NA
-77.4605399,38.3031837
-73.9712488,40.7830603
-118.2200712,33.8958492
-117.1610838,32.715738
NA,NA
-90.1848103,32.2987573
NA,NA
-86.7816016,36.1626638
NA,NA
-74.0059728,40.7127753
-77.0368707,38.9071923
NA,NA
-95.3698028,29.7604267
-84.1250281,36.7217446
-79.3831843,43.653226
NA,NA
-81.8039998,33.5509706
-95.712891,37.09024
NA,NA
NA,NA
NA,NA
-74.0059728,40.7127753
NA,NA
-86.5804473,35.5174913
-74.0059728,40.7127753
-78.050174,36.07557
NA,NA
-79.1422464,37.4137536
-77.0368707,38.9071923
-117.1610838,32.715738
-83.0309143,40.0141905
-82.5610019,28.0243611
-73.4975412,41.2840635
NA,NA
-80.2481666,43.5448048
-77.1945247,41.2033216
-77.0010786,41.2411897
-95.712891,37.09024
NA,NA
NA,NA
-77.1945247,41.2033216
-81.5157535,27.6648274
NA,NA
NA,NA
-122.3320708,47.6062095
-94.5907857,39.0532974
-81.6943605,41.49932
-97.396381,27.8005828
NA,NA
NA,NA
NA,NA
-88.6217432,41.6458634
NA,NA
-86.7816016,36.1626638
NA,NA
-91.8318334,37.9642529
NA,NA
-84.3879824,33.7489954
-83.9207392,35.9606384
-89.3985283,40.6331249
NA,NA
-119.4153027,46.2935472
-93.2650108,44.977753
NA,NA
-89.6645266,35.042036
NA,NA
NA,NA
-78.6381787,35.7795897
-82.1587351,36.0156735
-74.0059728,40.7127753
-95.712891,37.09024
106.8855194,-6.1024527
NA,NA
-82.021985,34.987089
NA,NA
NA,NA
-75.1652215,39.9525839
-79.9958864,40.4406248
-99.9018131,31.9685988
-86.8849984,36.5092118
NA,NA
-91.3598775,41.2786364
-79.6876659,43.467517
-81.5157535,27.6648274
-90.1528519,29.9840922
NA,NA
-117.1610838,32.715738
-122.6509646,45.6156431
-122.3320708,47.6062095
-105.7820674,39.5500507
-86.1349019,40.2671941
-91.8318334,37.9642529
NA,NA
-95.971261,36.153315
-119.4179324,36.778261
NA,NA
NA,NA
NA,NA
-98.4842465,39.011902
NA,NA
-95.8593616,40.6765745
-83.8910534,41.5886629
NA,NA
-79.0192997,35.7595731
NA,NA
-77.0368707,38.9071923
-117.9242123,33.8703645
-95.7257968,32.3593117
-99.9018131,31.9685988
NA,NA
-77.2644152,41.2020171
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
-106.6700458,52.1332144
NA,NA
-93.2922989,37.2089572
NA,NA
-95.992775,36.1539816
-93.2922989,37.2089572
-86.5804473,35.5174913
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
-88.6064373,35.2336933
-71.8022934,42.2625932
NA,NA
122.740723,11.3155974
-73.8205567,45.4895636
-81.6943605,41.49932
NA,NA
-98.4933873,33.9137085
NA,NA
-91.7336846,35.2468204
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
-118.2910096,34.096032
-79.3831843,43.653226
-74.0059728,40.7127753
-95.712891,37.09024
-91.8318334,35.20105
NA,NA
-73.9865533,40.7263542
NA,NA
-79.3831843,43.653226
-79.0192997,35.7595731
NA,NA
-81.5157535,27.6648274
-77.3078782,38.5800437
-94.1185366,36.3320196
NA,NA
-96.7969879,32.7766642
NA,NA
NA,NA
NA,NA
NA,NA
-88.1070127,41.8661403
NA,NA
NA,NA
-73.8205567,45.4895636
-105.2705456,40.0149856
-95.712891,37.09024
-75.6971931,45.4215296
NA,NA
-74.0059728,40.7127753
-76.6121893,39.2903848
NA,NA
-80.4549026,38.5976262
NA,NA
NA,NA
NA,NA
-85.7769238,39.5214373
NA,NA
NA,NA
NA,NA
NA,NA
-86.2519898,41.6763545
NA,NA
-84.2700179,37.8393332
NA,NA
-87.6297982,41.8781136
-81.5157535,27.6648274
NA,NA
-122.3320708,47.6062095
-91.8318334,37.9642529
NA,NA
NA,NA
-74.3646122,40.7146376
NA,NA
-81.3792365,28.5383355
19.5033041,47.162494
NA,NA
-75.2582447,40.0104668
-95.6035396,43.6333496
-83.9737935,35.7895271
-105.0797838,39.0771893
-101.6374772,36.5956478
-95.3698028,29.7604267
-89.1528176,30.3504751
NA,NA
NA,NA
-86.158068,39.768403
-116.2420304,43.478767
-91.8318334,37.9642529
-118.2436849,34.0522342
-115.1398296,36.1699412
-105.937799,35.6869752
-122.4194155,37.7749295
NA,NA
-76.6977522,39.3359385
-79.9958864,40.4406248
-94.1736551,36.0678324
NA,NA
-88.4470508,43.7730448
72.826967,18.944847
-71.0588801,42.3600825
-122.3320708,47.6062095
-83.1843781,35.3089224
-81.5157535,27.6648274
NA,NA
NA,NA
NA,NA
-97.5164276,35.4675602
NA,NA
80.1645457,13.0236268
NA,NA
NA,NA
NA,NA
-74.0059728,40.7127753
NA,NA
-95.712891,37.09024
-82.907123,40.4172871
-73.087749,41.6032207
NA,NA
-66.590149,18.220833
NA,NA
NA,NA
NA,NA
-87.6297982,41.8781136
NA,NA
NA,NA
NA,NA
NA,NA
-115.1219028,36.1611747
NA,NA
NA,NA
-92.2895948,34.7464809
-95.3367827,29.9902199
77.5142869,12.9728508
-79.7919754,36.0726354
NA,NA
-77.6109219,43.16103
NA,NA
-86.5804473,35.5174913
NA,NA
NA,NA
-94.7160645,39.2975455
NA,NA
-91.9206505,44.9028713
-95.971261,36.153315
-71,25
-74.4056612,40.0583238
NA,NA
NA,NA
-73.9811862,40.7288601
0.0302354,5.7348119
-0.1869644,5.6037168
NA,NA
NA,NA
-83.9787808,30.8365815
-85.6023643,44.3148443
-97.3307658,32.7554883
-95.712891,37.09024
NA,NA
NA,NA
NA,NA
-74.0059728,40.7127753
-95.3698028,29.7604267
144.793731,13.444304
-97.1080656,32.735687
-81.563874,28.385233
-77.0368707,38.9071923
NA,NA
-95.712891,37.09024
NA,NA
-81.8704481,36.0711174
-95.712891,37.09024
-118.2436849,34.0522342
-81.5157535,27.6648274
NA,NA
NA,NA
-122.2011075,40.1998777
-97.5087365,25.9434529
-91.9623327,30.9842977
NA,NA
-75.6971931,45.4215296
NA,NA
-91.9623327,30.9842977
-119.4179324,36.778261
-116.3915131,43.6121087
NA,NA
-73.1112433,44.4905054
-95.712891,37.09024
-86.2813834,42.4031449
NA,NA
-75.294569,40.7749283
-77.0368707,38.9071923
-106.2800242,43.4113604
NA,NA
-81.2142561,34.7048613
NA,NA
NA,NA
NA,NA
-66.58973,6.42375
NA,NA
NA,NA
NA,NA
-92.0865068,46.8163886
-95.6307891,31.7621153
NA,NA
NA,NA
NA,NA
-118.2436849,34.0522342
NA,NA
NA,NA
-122.4194155,37.7749295
NA,NA
NA,NA
-89.3985283,40.6331249
-95.3698028,29.7604267
-118.2436849,34.0522342
NA,NA
-111.0937311,39.3209801
-95.3698028,29.7604267
NA,NA
NA,NA
NA,NA
-91.9623327,30.9842977
-96.6786131,34.2362054
-73.9441579,40.6781784
-99.9018131,31.9685988
NA,NA
NA,NA
-85.2256635,34.9947441
NA,NA
-117.1610838,32.715738
NA,NA
-78.6568942,37.4315734
-96.0806161,41.2901355
-87.6297982,41.8781136
NA,NA
NA,NA
-82.9000751,32.1656221
-86.5804473,35.5174913
NA,NA
-96.7969879,32.7766642
-81.5157535,27.6648274
-76.6121893,39.2903848
NA,NA
-72.9253805,40.9525987
-95.712891,37.09024
-112.0740373,33.4483771
NA,NA
-69.4454689,45.253783
-89.4012302,43.0730517
-74.0059728,40.7127753
-95.3900419,45.6502392
NA,NA
19.5033041,47.162494
-110.3625658,46.8796822
-89.3985283,40.6331249
NA,NA
NA,NA
-88.7900689,39.4064284
NA,NA
NA,NA
-74.0059728,40.7127753
-110.0298327,34.2542084
-95.712891,37.09024
NA,NA
-79.3831843,43.653226
-81.8723084,26.640628
NA,NA
-97.7430608,30.267153
NA,NA
-115.1929018,36.1249023
-87.6297982,41.8781136
-79.3831843,43.653226
-94.6858998,46.729553
NA,NA
NA,NA
-95.712891,37.09024
NA,NA
-95.712891,37.09024
NA,NA
NA,NA
NA,NA
-91.8318334,37.9642529
-120.8958242,38.8375215
-81.1637245,33.836081
-99.3903862,36.4336481
-95.3698028,29.7604267
-99.9018131,43.9695148
-122.4194155,37.7749295
-77.1945247,41.2033216
-122.3320708,47.6062095
-77.0469214,38.8048355
NA,NA
-96.7311034,43.5445959
NA,NA
-87.8028402,42.0189191
NA,NA
-97.7625441,35.5067215
NA,NA
-83.6874562,43.0125274
-149.4936733,64.2008413
-74.0059728,40.7127753
NA,NA
-79.3956564,43.6628917
NA,NA
-127.6476205,53.7266683
151.4435474,-33.3529519
-117.6660349,33.5520852
NA,NA
NA,NA
NA,NA
-77.1945247,41.2033216
NA,NA
-97.5164276,35.4675602
-79.8711024,43.2557206
-94.4154758,30.7752011
NA,NA
-75.1652215,39.9525839
NA,NA
-81.5157535,27.6648274
-117.5931084,34.1063989
-81.3792365,28.5383355
NA,NA
-87.6297982,41.8781136
-122.272747,37.8715926
-118.029619,34.1077
-84.2700179,37.8393332
NA,NA
-94.4546013,38.9091488
-118.2436849,34.0522342
NA,NA
-73.087749,41.6032207
-88.7878678,43.7844397
NA,NA
NA,NA
-66.58973,6.42375
-119.4179324,36.778261
NA,NA
NA,NA
NA,NA
-82.7360015,36.8059585
-92.7884871,32.5345953
-98.321061,37.9845192
-82.3688078,40.7739051
-77.297508,18.109581
NA,NA
-111.9260519,33.4941704
-0.0722785,51.6049674
-85.7801453,35.6865889
NA,NA
NA,NA
NA,NA
NA,NA
-73.8680872,42.9117377
-119.4179324,36.778261
-84.5120196,39.1031182
NA,NA
-79.0192997,35.7595731
NA,NA
-75.6971931,45.4215296
-84.3879824,33.7489954
-86.7816016,36.1626638
-79.9958864,40.4406248
NA,NA
-81.5157535,27.6648274
-91.1403196,30.4582829
NA,NA
-74.0059728,40.7127753
-80.9269984,29.0258191
-122.3320708,47.6062095
-107.2528069,33.1284047
-95.712891,37.09024
NA,NA
-79.9414266,37.2709704
-122.4194155,37.7749295
-87.6297982,41.8781136
NA,NA
-79.3831843,43.653226
NA,NA
-116.5765035,53.9332706
-122.4194155,37.7749295
NA,NA
151.7816802,-32.9282712
-94.6858998,46.729553
78.4013771,17.386887
-93.3759893,30.1688187
-117.1610838,32.715738
-118.4380477,34.1494083
-123.559387,41.6773273
NA,NA
-119.6981901,34.4208305
-86.5804473,35.5174913
-122.3916754,40.5865396
-97.092877,35.0077519
-74.4056612,40.0583238
-76.6121893,39.2903848
NA,NA
-98.4936282,29.4241219
-97.7430608,30.267153
-122.7140548,38.440429
NA,NA
-97.7430608,30.267153
-81.5134255,35.7429092
-79.3831843,43.653226
-93.2650108,44.977753
NA,NA
NA,NA
NA,NA
NA,NA
-84.276547,34.095662
-73.567256,45.5016889
