"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970084487085285376",2018-03-03 23:52:19,"x46770938","StratVDL","Lo único que esta logrando está influenza es que el próximo fin valga doblemente madre. https://t.co/1iMDeaiIsn","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,"http://pbs.twimg.com/media/DXZusZEVAAAyvcW.jpg","https://t.co/1iMDeaiIsn","https://twitter.com/StratVDL/status/970084487085285376/photo/1","photo","http://pbs.twimg.com/media/DXZusZEVAAAyvcW.jpg","https://t.co/1iMDeaiIsn","https://twitter.com/StratVDL/status/970084487085285376/photo/1",,,,"es",,,,,,,,,,,,,
"x970081612007444480",2018-03-03 23:40:54,"x193743691","elchiltepin","#SONORA Confirma Salud seis nuevos casos de influenza :: https://t.co/L0t6nK1mA6 vía @elchiltepin","Twitter Web Client",,,,FALSE,FALSE,0,0,"SONORA",,"elchiltepin.mx/fr4ec","https://t.co/L0t6nK1mA6","http://elchiltepin.mx/fr4ec",,,,,,,,,"x193743691","elchiltepin","es",,,,,,,,,,,,,
"x970080690569015296",2018-03-03 23:37:14,"x23289689","DeanGoodman","99 years ago this weekend. #influenza https://t.co/Py8GcmOWbK","Twitter Web Client",,,,FALSE,FALSE,0,0,"influenza",,,,,"http://pbs.twimg.com/media/DXZrCH-VQAAdQeB.jpg","https://t.co/Py8GcmOWbK","https://twitter.com/DeanGoodman/status/970080690569015296/photo/1","photo","http://pbs.twimg.com/media/DXZrCH-VQAAdQeB.jpg","https://t.co/Py8GcmOWbK","https://twitter.com/DeanGoodman/status/970080690569015296/photo/1",,,,"en",,,,,,,,,,,,,
"x970080578006650880",2018-03-03 23:36:47,"x14282877","daunerparty","@kaptainkr Influenza... the gift that keeps on giving. #bummerdude","Twitter for iPhone","x969575113204162560","x440955202","kaptainkr",FALSE,FALSE,0,0,"bummerdude",,,,,,,,,,,,,"x440955202","kaptainkr","en",,,,,"https://api.twitter.com/1.1/geo/id/8e9665cec9370f0f.json","Minneapolis","Minneapolis, MN","city","United States","US",,,"-93.329515 -93.194578 -93.194578 -93.329515 44.889964 44.889964 45.051257 45.051257"
"x970079713669648385",2018-03-03 23:33:21,"x761677734015795200","FerretsGuide","Ferret's viral diseases include canine distemper and influenza.","TongueApp",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x970078594537066496",2018-03-03 23:28:54,"x415931226","juancarlosvmont","Mi sobrino oficialmente es niño rata, se enfermó de influenza desde el Lunes y su rutina era jugar Minecraft en xbox de 8am a 10pm, LITERAL!(Lulú, le subía su desayuno, su almuerzo y su cena). Hoy que mi hermano lo quizo llevar al parque empezó un gritonerio y lloriqueo faltal.","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"es",,,,,,,,,,,,,
"x970077893828186114",2018-03-03 23:26:07,"x745606000376422400","EvilsSweetheart","@Evil_Unleashed @Bonnie_Boo_Bear *shaking my head, my eyes wide* No way! That'd be too easy! No, instead, weeks before this, Rebekah had been working in the sick ward of a hospital in New Orleans. It was during the 1818 Spanish Influenza outbreak. There was this nurse that was working there with Rebekah. Her -","Twitter Web Client","x970077361197731840","x908433896404119553","Evil_Unleashed",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x908433896404119553 919705716704907264","Evil_Unleashed Bonnie_Boo_Bear","en",,,,,,,,,,,,,
"x970074512564797440",2018-03-03 23:12:41,"x966814868161511424","DipLuceroJasso","RT @LaBrecha_me: #Salud, Error ""Bajar la Guardia"" ante Cambios de Temperatura, la #Influenza Permanece: @DipLuceroJasso https://t.co/boPlOX…","Twitter for iPhone",,,,FALSE,TRUE,0,1,"Salud Influenza",,,,,,,,,,,,,"x312867341 966814868161511424","LaBrecha_me DipLuceroJasso","es",,,"x969929699244806144","#Salud, Error ""Bajar la Guardia"" ante Cambios de Temperatura, la #Influenza Permanece: @DipLuceroJasso https://t.co/boPlOXhDA3 https://t.co/gcwLdQeQ3J",,,,,,,,,
"x970074500959227906",2018-03-03 23:12:38,"x966814868161511424","DipLuceroJasso","RT @0marGamo: #Salud, Error ""Bajar la Guardia"" ante Cambios de Temperatura, la #Influenza Permanece: @DipLuceroJasso https://t.co/deBbL7qFu…","Twitter for iPhone",,,,FALSE,TRUE,0,1,"Salud Influenza",,,,,,,,,,,,,"x153218798 966814868161511424","0marGamo DipLuceroJasso","es",,,"x969929770648702977","#Salud, Error ""Bajar la Guardia"" ante Cambios de Temperatura, la #Influenza Permanece: @DipLuceroJasso https://t.co/deBbL7qFu9 https://t.co/Ud90uv7RmV",,,,,,,,,
"x970073607245266945",2018-03-03 23:09:05,"x124511558","glacialridge","For people with heart failure, getting a seasonal influenza (flu) vaccine was associated with a 50% drop in the risk of death during flu season and a 20% drop in the risk of death during the rest of the year. It’s not too late to get a flu vaccine!  https://t.co/kjBLH1i9vS","Sprout Social",,,,FALSE,FALSE,0,0,,,"glacialridge.org/flu-vaccine-cu…","https://t.co/kjBLH1i9vS","https://glacialridge.org/flu-vaccine-cuts-death-risk-in-half-heart-failure-patients/",,,,,,,,,,,"en",,,,,,,,,,,,,
